,acteurs,director,href,jaartal,rank,rating,samenvatting,titel
213,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",Steven Spielberg,https://www.imdb.com//title/tt0264464/,2002,214,8.1,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",Catch Me If You Can
214,"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo']",Alejandro G. Iñárritu (as Alejandro González Iñárritu),https://www.imdb.com//title/tt0245712/,2000,215,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Amores perros
215,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",David Yates,https://www.imdb.com//title/tt1201607/,2011,216,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Harry Potter and the Deathly Hallows: Part 2
216,"['Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Kyôda']",Hayao Miyazaki,https://www.imdb.com//title/tt0087544/,1984,217,8.0,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Kaze no tani no Naushika
217,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright']",Rob Reiner,https://www.imdb.com//title/tt0093779/,1987,218,8.0,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",The Princess Bride
218,"['Sylvester Stallone', 'Talia Shire', 'Burt Young']",John G. Avildsen,https://www.imdb.com//title/tt0075148/,1976,219,8.0,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,Rocky
219,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']",Stanley Kubrick,https://www.imdb.com//title/tt0072684/,1975,220,8.0,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Barry Lyndon
220,"['Paul Newman', 'Robert Redford', 'Katharine Ross']",George Roy Hill,https://www.imdb.com//title/tt0064115/,1969,221,8.0,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",Butch Cassidy and the Sundance Kid
221,"['Aamir Khan', 'Soha Ali Khan', 'Siddharth']",Rakeysh Omprakash Mehra (as Rakesh Omprakash Mehra),https://www.imdb.com//title/tt0405508/,2006,222,8.0,"The story of six young Indians who assist an English woman to film a documentary on the extremist freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rang De Basanti
222,"['Billy Crystal', 'John Goodman', 'Mary Gibbs']","Directors:
Pete Docter, David Silverman (co-director)            |
1 more credit »",https://www.imdb.com//title/tt0198781/,2001,223,8.0,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","Monsters, Inc."
