,acteurs,director,href,jaartal,rank,rating,samenvatting,titel
125,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']",Peter Farrelly,https://www.imdb.com//title/tt6966692/,2018,126,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Green Book
126,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]",Akira Kurosawa,https://www.imdb.com//title/tt0044741/,1952,127,8.2,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Ikiru
127,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']",Martin Scorsese,https://www.imdb.com//title/tt0081398/,1980,128,8.2,"The life of boxer Jake LaMotta, as the violence and temper that leads him to the top in the ring destroys his life outside of it.",Raging Bull
128,"['Steve McQueen', 'James Garner', 'Richard Attenborough']",John Sturges,https://www.imdb.com//title/tt0057115/,1963,129,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,The Great Escape
129,"['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']",Majid Majidi,https://www.imdb.com//title/tt0118849/,1997,130,8.2,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Bacheha-Ye aseman
130,"['Ivana Baquero', 'Ariadna Gil', 'Sergi López']",Guillermo del Toro,https://www.imdb.com//title/tt0457430/,2006,131,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Pan's Labyrinth
131,"['Jack Nicholson', 'Faye Dunaway', 'John Huston']",Roman Polanski,https://www.imdb.com//title/tt0071315/,1974,132,8.2,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Chinatown
132,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto']",Hayao Miyazaki,https://www.imdb.com//title/tt0096283/,1988,133,8.2,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Tonari no Totoro
133,"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra']",Çagan Irmak,https://www.imdb.com//title/tt0476735/,2005,134,8.2,The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,Babam ve Oglum
134,"['Orson Welles', 'Joseph Cotten', 'Alida Valli']",Carol Reed,https://www.imdb.com//title/tt0041959/,1949,135,8.2,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",The Third Man
135,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin']",Hayao Miyazaki,https://www.imdb.com//title/tt0347149/,2004,136,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hauru no ugoku shiro
136,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']",Akira Kurosawa,https://www.imdb.com//title/tt0089881/,1985,137,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Ran
137,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark']",Stanley Kramer,https://www.imdb.com//title/tt0055031/,1961,138,8.2,"In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.",Oordeel te Neurenberg
138,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago']",Juan José Campanella,https://www.imdb.com//title/tt1305806/,2009,139,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,El secreto de sus ojos
139,"['Charles Chaplin', 'Mack Swain', 'Tom Murray']",Charles Chaplin,https://www.imdb.com//title/tt0015864/,1925,140,8.2,A prospector goes to the Klondike in search of gold and finds it and more.,The Gold Rush
140,"['William Holden', 'Alec Guinness', 'Jack Hawkins']",David Lean,https://www.imdb.com//title/tt0050212/,1957,141,8.2,"After settling his differences with a Japanese P.O.W. camp commander, a British Colonel co-operates to oversee his men's construction of a railway bridge for their captors, while oblivious to a plan by the Allies to destroy it.",The Bridge on the River Kwai
141,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']",Ron Howard,https://www.imdb.com//title/tt0268978/,2001,142,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",A Beautiful Mind
142,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran']",Guy Ritchie,https://www.imdb.com//title/tt0120735/,1998,143,8.2,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.","Lock, Stock and Two Smoking Barrels"
143,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",Martin Scorsese,https://www.imdb.com//title/tt0112641/,1995,144,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",Casino
144,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot']",Ingmar Bergman,https://www.imdb.com//title/tt0050976/,1957,145,8.1,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Det sjunde inseglet
145,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb']",Elia Kazan,https://www.imdb.com//title/tt0047296/,1954,146,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,On the Waterfront
146,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']",Martin McDonagh,https://www.imdb.com//title/tt5027774/,2017,147,8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Three Billboards Outside Ebbing, Missouri"
147,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",Martin Scorsese,https://www.imdb.com//title/tt0993846/,2013,148,8.1,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",The Wolf of Wall Street
148,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']",David Lynch,https://www.imdb.com//title/tt0080678/,1980,149,8.1,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of intelligence and sensitivity.",The Elephant Man
149,"['Amy Poehler', 'Bill Hader', 'Lewis Black']","Directors:
Pete Docter, Ronnie Del Carmen (co-director)",https://www.imdb.com//title/tt2096673/,2015,150,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Inside Out
150,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves']",James McTeigue,https://www.imdb.com//title/tt0434409/,2005,151,8.1,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",V for Vendetta
151,"['James Stewart', 'Jean Arthur', 'Claude Rains']",Frank Capra,https://www.imdb.com//title/tt0031679/,1939,152,8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Mr. Smith Goes to Washington
152,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers']",Lenny Abrahamson,https://www.imdb.com//title/tt3170832/,2015,153,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Room
153,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton']",Gavin O'Connor,https://www.imdb.com//title/tt1291584/,2011,154,8.1,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Warrior
154,"['Harrison Ford', 'Rutger Hauer', 'Sean Young']",Ridley Scott,https://www.imdb.com//title/tt0083658/,1982,155,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Blade Runner
155,"['Ray Milland', 'Grace Kelly', 'Robert Cummings']",Alfred Hitchcock,https://www.imdb.com//title/tt0046912/,1954,156,8.1,A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.,Dial M for Murder
156,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']","Directors:
Ethan Coen, Joel Coen",https://www.imdb.com//title/tt0477348/,2007,157,8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,No Country for Old Men
157,"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds']",Paul Thomas Anderson,https://www.imdb.com//title/tt0469494/,2007,158,8.1,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",There Will Be Blood
158,"['Ayushmann Khurrana', 'Tabu', 'Radhika Apte']",Sriram Raghavan,https://www.imdb.com//title/tt8108198/,2018,159,8.1,A series of mysterious events change the life of a blind pianist who now must report a crime that was actually never witnessed by him.,Andhadhun
159,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin']",Ingmar Bergman,https://www.imdb.com//title/tt0050986/,1957,160,8.1,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Smultronstället
160,"['Buster Keaton', 'Marion Mack', 'Glen Cavender']","Directors:
Clyde Bruckman, Buster Keaton",https://www.imdb.com//title/tt0017925/,1926,161,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",The General
161,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']",M. Night Shyamalan,https://www.imdb.com//title/tt0167404/,1999,162,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,The Sixth Sense
162,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']",Danny Boyle,https://www.imdb.com//title/tt0117951/,1996,163,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Trainspotting
163,"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell']","Directors:
Victor Fleming, George Cukor (uncredited)            |
1 more credit »",https://www.imdb.com//title/tt0031381/,1939,164,8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Gone with the Wind
164,"['Kurt Russell', 'Wilford Brimley', 'Keith David']",John Carpenter,https://www.imdb.com//title/tt0084787/,1982,165,8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,The Thing
165,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi']","Directors:
Joel Coen, Ethan Coen (uncredited)",https://www.imdb.com//title/tt0116282/,1996,166,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Fargo
166,"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']",Elem Klimov (as E. Klimov),https://www.imdb.com//title/tt0091251/,1985,167,8.1,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Idi i smotri
167,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley']",Clint Eastwood,https://www.imdb.com//title/tt1205489/,2008,168,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Gran Torino
168,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']","Directors:
Andrew Stanton, Lee Unkrich (co-director)",https://www.imdb.com//title/tt0266543/,2003,169,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Finding Nemo
169,"['Robert De Niro', 'Christopher Walken', 'John Cazale']",Michael Cimino,https://www.imdb.com//title/tt0077416/,1978,170,8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,The Deer Hunter
170,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']",Martin Scorsese,https://www.imdb.com//title/tt1130884/,2010,171,8.1,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.",Shutter Island
171,"['Jeff Bridges', 'John Goodman', 'Julianne Moore']","Directors:
Joel Coen, Ethan Coen (uncredited)",https://www.imdb.com//title/tt0118715/,1998,172,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",The Big Lebowski
172,"['Uma Thurman', 'David Carradine', 'Daryl Hannah']",Quentin Tarantino,https://www.imdb.com//title/tt0266697/,2003,173,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Kill Bill: Vol. 1
173,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton']",Buster Keaton,https://www.imdb.com//title/tt0015324/,1924,174,8.1,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Sherlock Jr.
174,"['Paul Newman', 'George Kennedy', 'Strother Martin']",Stuart Rosenberg,https://www.imdb.com//title/tt0061512/,1967,175,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Cool Hand Luke
175,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura']",Yasujirô Ozu,https://www.imdb.com//title/tt0046438/,1953,176,8.1,An old couple visit their children and grandchildren in the city; but the children have little time for them.,Tôkyô monogatari
176,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana']",Adam Elliot,https://www.imdb.com//title/tt0978762/,2009,177,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Mary and Max
